matlab date,lat,lon,sst,sal
736450.8979,32.32073251,-157.986,17.8112725,34.66510056
736450.9017,32.30684011,-157.9868393,17.88353867,34.66175533
736450.9056,32.29310299,-157.9876305,17.83751889,34.64299472
736450.9094,32.27938473,-157.9884118,17.828125,34.637128
736450.9128,32.26705971,-157.9890344,17.692851,34.62803533
736450.9167,32.25349426,-157.9898066,17.6757225,34.61859333
736450.9205,32.23996026,-157.9907393,17.57551267,34.61188833
736450.9243,32.22653791,-157.9915599,17.4324525,34.61591472
736450.9281,32.21308891,-157.9923027,17.37247533,34.625869
736450.9319,32.1995736,-157.9930044,17.34458333,34.63160111
736450.9358,32.18602228,-157.9936765,17.447885,34.63206233
736450.9392,32.17373675,-157.9942783,17.46884133,34.640045
736450.9431,32.16037962,-157.9949231,17.56798278,34.64195583
736450.9604,32.10009573,-157.9989899,17.61873322,34.6592328
736450.9774,32.04099481,-158.0034951,17.676828,34.651553
736450.9813,32.02748845,-158.0047154,17.69606861,34.64376444
736450.9851,32.01387326,-158.0059739,17.72474767,34.63845833
736450.9889,32.00013428,-158.0075396,17.83466306,34.64049972
736450.9927,31.98647126,-158.0093032,17.89396267,34.643208
736450.9962,31.97419173,-158.0108214,17.84988033,34.645894
736451,31.96064797,-158.0115558,17.749495,34.6489825
736451.0038,31.94728249,-158.0111332,17.751584,34.65463967
736451.0076,31.93410029,-158.0105324,17.90086667,34.6728025
736451.0115,31.92092107,-158.0099161,18.01698,34.69747233
736451.0153,31.9076239,-158.0092537,18.04456528,34.71442417
736451.0191,31.89438125,-158.0084706,17.82156433,34.702507
736451.0226,31.88235264,-158.0076919,17.79053467,34.70306033
736451.0264,31.86913958,-158.0068216,17.75611111,34.70801583
736451.0438,31.80786551,-158.0035037,17.59479564,34.6634728
736451.0608,31.74676077,-158.002549,17.630275,34.62896733
736451.0646,31.73254329,-158.002186,17.67244028,34.62730694
736451.0684,31.71822915,-158.0018788,17.76915933,34.62929367
736451.0722,31.7037987,-158.0015278,17.87492361,34.63783694
736451.076,31.68924197,-158.0010061,18.01571933,34.65773367
736451.0795,31.67582617,-158.0004592,18.16343567,34.67533533
736451.0833,31.6611354,-157.9998669,18.33943917,34.68319194
736451.0872,31.64650532,-157.9993755,18.41909767,34.68955167
736451.091,31.6320154,-157.9990152,18.41345722,34.71309694
736451.0948,31.61731425,-157.9987083,18.51350667,34.760545
736451.0986,31.60252027,-157.9985332,18.78138917,34.83314778
736451.1024,31.58775774,-157.9988092,18.99776467,34.897863
736451.1059,31.57431005,-157.9991258,19.173606,34.94709633
736451.1097,31.55964651,-157.9995846,19.29045861,34.96234556
736451.1271,31.49459245,-157.8822504,19.63590292,34.98937875
736451.1441,31.43217607,-158.0001578,19.766986,35.05874667
736451.1479,31.41890578,-158.0001399,19.85344778,35.09258417
736451.1517,31.40572944,-158.0001043,20.002026,35.111847
736451.1556,31.39257535,-157.9999638,20.09046444,35.13950083
736451.1594,31.37930983,-157.9999072,20.174862,35.17123467
736451.1628,31.36726498,-158.0000227,20.20317467,35.17791133
736451.1667,31.3539673,-158.0001124,20.2023575,35.18259528
736451.1705,31.34069269,-158.0001299,20.21953967,35.180906
736451.1743,31.32735222,-157.9999594,20.20748472,35.18009861
736451.1781,31.3140275,-157.9998502,20.22359933,35.17896533
736451.1819,31.30064213,-158.0000341,20.21054278,35.18279722
736451.1858,31.28715047,-158.000253,20.21174467,35.18386933
736451.1892,31.27476935,-158.0002723,20.292661,35.17746733
736451.1931,31.26119297,-158.0002386,20.37789611,35.17012389
736451.2104,31.19861621,-158.0003481,20.06217583,35.07638398
736451.2274,31.1371128,-158.0001933,19.72566433,34.954754
736451.2313,31.12311721,-158.0000287,19.52624944,34.91356222
736451.2351,31.10921292,-157.9996886,19.31890967,34.84889033
736451.2389,31.09545124,-157.9992294,19.01522028,34.78332917
736451.2427,31.08174136,-157.99868,18.77330867,34.77794867
