MassFeature_Column,SampID,std_area,cluster,cluster_letters
I204.1232R7.22_HILICPos_X_HILICPos,1314_B,0,5,d
I204.1233R3.65_HILICPos_X_HILICPos,1314_B,0,4,g
I206.0675R2.59_CyanoAq_X_RP,1314_B,0,4,g
I207.0686R8.88_HILICPos_X_HILICPos,1314_B,0,4,g
I209.0478R11.07_HILICPos_X_HILICPos,1314_B,0,6,e
I211.0565R12.12_HILICPos_X_HILICPos,1314_B,0,1,a
I214.0484R11.68_HILICNeg_X_HILICNeg,1314_B,0,5,d
I217.93R10.87_HILICNeg_X_HILICNeg,1314_B,0,6,e
I219.9271R10.87_HILICNeg_X_HILICNeg,1314_B,0,6,e
I221.022R10.39_HILICNeg_X_HILICNeg,1314_B,0,4,g
I221.0843R5.58_HILICPos_X_HILICPos,1314_B,0,4,g
I221.0843R8.12_HILICPos_X_HILICPos,1314_B,0,4,g
I221.0844R0.89_CyanoAq_X_RP,1314_B,0,4,g
I225.1607R2.2_HILICNeg_X_HILICNeg,1314_B,0,4,g
I227.1754R2.2_HILICPos_X_HILICPos,1314_B,0,4,g
I228.0979R6.34_HILICPos_X_HILICPos,1314_B,0,1,a
I229.1549R0.89_CyanoAq_X_RP,1314_B,0,4,g
I229.1557R2_HILICNeg_X_HILICNeg,1314_B,0,3,b
I232.0231R10.77_HILICNeg_X_HILICNeg,1314_B,0,2,c
I232.118R6.16_HILICPos_X_HILICPos,1314_B,0,4,g
I235.1653R7.18_HILICPos_X_HILICPos,1314_B,0,5,d
I236.1492R9.91_HILICPos_X_HILICPos,1314_B,0,4,g
I236.1493R8.23_HILICPos_X_HILICPos,1314_B,0,4,g
I237.1235R1.65_CyanoAq_X_RP,1314_B,0,3,b
I238.0524R11.67_HILICPos_X_HILICPos,1314_B,0,4,g
