MassFeature_Column,SampID,std_area,cluster,latitude,cluster_letters
I326.0563R6.58_HILICPos_X_HILICPos,S2C3_A,0.01735883834944658,1,23.596524,a
I327.1204R10.42_HILICNeg_X_HILICNeg,S2C3_A,0.031218939266305566,2,23.596524,b
I329.0856R4.34_HILICNeg_X_HILICNeg,S2C3_A,0,3,23.596524,d
I329.1346R2.89_CyanoAq_X_RP,S2C3_A,0,4,23.596524,c
I329.1347R0.88_CyanoAq_X_RP,S2C3_A,0.022616389420679908,2,23.596524,b
I329.1742R7.17_HILICPos_X_HILICPos,S2C3_A,0.013292341151429311,1,23.596524,a
I329.2073R2.82_CyanoAq_X_RP,S2C3_A,0,4,23.596524,c
I331.1154R11.28_HILICNeg_X_HILICNeg,S2C3_A,0.009494484068480377,2,23.596524,b
I333.1293R11.28_HILICPos_X_HILICPos,S2C3_A,0.005794261550534376,2,23.596524,b
I338.006R9.9_HILICNeg_X_HILICNeg,S2C3_A,0.011079932040730382,2,23.596524,b
I340.0028R9.93_HILICNeg_X_HILICNeg,S2C3_A,0.01050341305051669,2,23.596524,b
I340.2597R6.93_CyanoAq_X_RP,S2C3_A,0.023478127630581665,2,23.596524,b
I345.0462R0.88_CyanoAq_X_RP,S2C3_A,0.006552787909003881,3,23.596524,d
I345.6642R3.9_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I346.0564R12.06_HILICNeg_X_HILICNeg,S2C3_A,0.023205153211266347,1,23.596524,a
I346.1457R4.95_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I347.1452R0.87_CyanoAq_X_RP,S2C3_A,0.23257180625057897,2,23.596524,b
I370.6952R2.68_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I375.2136R4.1_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I376.9346R7.43_HILICNeg_X_HILICNeg,S2C3_A,0.014280391238700571,1,23.596524,a
I377.1459R4.24_CyanoAq_X_RP,S2C3_A,1.973777827990582e-4,1,23.596524,a
I379.083R11.37_HILICNeg_X_HILICNeg,S2C3_A,0.011396506174163944,1,23.596524,a
I381.1828R4.47_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I386.0341R16.12_HILICNeg_X_HILICNeg,S2C3_A,0.005935131099153436,1,23.596524,a
I387.2256R2.2_HILICNeg_X_HILICNeg,S2C3_A,0.008873359607250279,3,23.596524,d
I401.241R2.14_HILICNeg_X_HILICNeg,S2C3_A,0.11559619651747435,1,23.596524,a
I404.7398R5.8_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I414.1624R0.94_CyanoAq_X_RP,S2C3_A,0.06692509155913323,2,23.596524,b
I414.1638R9.08_HILICNeg_X_HILICNeg,S2C3_A,0.0027564323162407333,4,23.596524,c
I416.1778R9.11_HILICPos_X_HILICPos,S2C3_A,0.003580828032161557,2,23.596524,b
I416.178R0.93_CyanoAq_X_RP,S2C3_A,0.0024234033137099245,4,23.596524,c
I419.6799R6.47_CyanoAq_X_RP,S2C3_A,0,5,23.596524,e
I424.2081R2.64_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I429.1257R12.32_HILICNeg_X_HILICNeg,S2C3_A,0.05038604519086535,7,23.596524,g
I455.1888R6.34_HILICPos_X_HILICPos,S2C3_A,0.004149768121513597,5,23.596524,e
I459.2336R3.77_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I470.2256R5.55_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I479.1923R4.35_HILICPos_X_HILICPos,S2C3_A,0.002946359067939383,1,23.596524,a
I479.7914R1.79_HILICNeg_X_HILICNeg,S2C3_A,0.015184800414707477,7,23.596524,g
I495.0783R2.22_HILICNeg_X_HILICNeg,S2C3_A,0,7,23.596524,g
I511.2407R3.6_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I533.0521R2.2_HILICNeg_X_HILICNeg,S2C3_A,0,7,23.596524,g
I548.2723R4.91_CyanoAq_X_RP,S2C3_A,0,1,23.596524,a
I575.1679R5.3_CyanoAq_X_RP,S2C3_A,0,1,23.596524,a
I577.1657R5.3_CyanoAq_X_RP,S2C3_A,0,1,23.596524,a
I589.2805R5.44_CyanoAq_X_RP,S2C3_A,0,3,23.596524,d
I605.3175R6.37_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I606.0756R12.98_HILICNeg_X_HILICNeg,S2C3_A,0.01641720952519649,1,23.596524,a
I620.9939R2.17_HILICNeg_X_HILICNeg,S2C3_A,0,7,23.596524,g
I622.9911R2.17_HILICNeg_X_HILICNeg,S2C3_A,0,7,23.596524,g
I801.3309R6.22_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I802.3342R6.22_CyanoAq_X_RP,S2C3_A,0,6,23.596524,f
I84.045R12.12_HILICPos_X_HILICPos,S2C3_A,0.013637878122494581,1,23.596524,a
I87.0446R10.14_HILICPos_X_HILICPos,S2C3_A,0.005686944170430058,4,23.596524,c
I93.0578R5.36_HILICPos_X_HILICPos,S2C3_A,0.003489499314407757,1,23.596524,a
I96.0449R5.35_HILICPos_X_HILICPos,S2C3_A,0.0036807753444424666,1,23.596524,a
Inosine_X_HILICNeg,S2C3_A,0.005042662348782315,3,23.596524,d
Isethionic Acid_X_HILICNeg,S2C3_A,0.009691673908282303,1,23.596524,a
Kynurenine_X_RP,S2C3_A,0.03887801896568613,3,23.596524,d
L-Pyroglutamic acid_X_HILICNeg,S2C3_A,0.013462958844383954,1,23.596524,a
Lysine_X_HILICPos,S2C3_A,0.013385742465586785,1,23.596524,a
Malic Acid_X_HILICNeg,S2C3_A,0.013745968919186606,1,23.596524,a
Methionine Sulfoxide_X_HILICPos,S2C3_A,0.020642074356858872,1,23.596524,a
Methionine_X_HILICPos,S2C3_A,0.0013028000094498476,3,23.596524,d
N-acetyltaurine_X_HILICNeg,S2C3_A,0.026482916192136264,1,23.596524,a
